"","CODE","PROVINCE","CANTON","DISTRICT","Condition","N","n","Prevalence","Unemployment","Urban Population","Critical Deprivation","Population under 14","Single mother homes","Occupants per home","Schooling years"
"18","6085","PUNTARENAS","COTO BRUS","PITTIER","Combined","290","85.00","0.29","1.66","0.00","47.15","31.65","9.59","3.57","5.7394767"
"19","6083","PUNTARENAS","COTO BRUS","AGUABUENA","Combined","643","176.00","0.27","3.70","20.47","34.99","28.56","17.82","3.44","7.4633289"
"20","6102","PUNTARENAS","CORREDORES","LA CUESTA","Combined","357","150.00","0.42","1.83","49.21","37.45","28.44","23.37","3.39","8.2204111"
"21","6074","PUNTARENAS","GOLFITO","PAVON","Combined","673","234.00","0.35","2.18","10.23","54.21","32.15","13.95","3.62","6.3672544"
"22","6103","PUNTARENAS","CORREDORES","CANOAS","Combined","1113","402.00","0.36","2.32","61.87","32.42","30.83","24.75","3.53","7.7803884"
"23","6104","PUNTARENAS","CORREDORES","LAUREL","Combined","749","225.00","0.30","1.59","14.32","41.12","29.59","16.18","3.50","6.5804285"
"24","6053","PUNTARENAS","OSA","SIERPE","Combined","250","74.00","0.30","2.41","19.57","61.36","27.02","14.22","3.12","6.1814921"
"25","6071","PUNTARENAS","GOLFITO","GOLFITO","Combined","735","223.00","0.30","4.79","67.33","36.74","26.42","25.71","3.28","8.3408773"
"26","6072","PUNTARENAS","GOLFITO","PUERTO JIMENEZ","Combined","1015","310.00","0.31","4.08","34.54","36.98","28.80","19.25","3.09","7.0199601"
"27","6055","PUNTARENAS","OSA","PIEDRAS BLANCAS","Combined","486","132.00","0.27","3.50","13.77","53.26","26.78","17.02","3.36","6.383515"
"28","6039","PUNTARENAS","BUENOS AIRES","BRUNKA","Combined","293","91.00","0.31","6.60","40.16","50.17","32.95","19.03","3.71","5.8748833"
"29","6031","PUNTARENAS","BUENOS AIRES","BUENOS AIRES","Combined","2065","564.00","0.27","3.14","66.61","37.52","32.11","23.75","3.63","7.3692601"
"30","6052","PUNTARENAS","OSA","PALMAR","Combined","680","229.00","0.34","3.39","50.02","36.77","27.19","22.82","3.38","7.585318"
"31","6051","PUNTARENAS","OSA","PUERTO CORTES","Combined","690","244.00","0.35","2.81","58.94","30.75","26.79","23.74","3.22","8.0099111"
"32","1197","SAN JOSE","PEREZ ZELEDON","PEJIBAYE","Combined","639","167.00","0.26","1.22","13.17","48.70","28.09","16.53","3.57","6.3256625"
"33","6036","PUNTARENAS","BUENOS AIRES","COLINAS","Combined","81","23.00","0.28","0.19","0.00","72.54","28.30","10.33","3.45","5.7735426"
"34","6032","PUNTARENAS","BUENOS AIRES","VOLCAN","Combined","236","63.00","0.27","4.44","16.12","45.27","29.07","15.70","3.49","6.3756695"
"35","6035","PUNTARENAS","BUENOS AIRES","PILAS","Combined","130","36.00","0.28","0.20","0.00","81.46","32.25","8.22","3.89","5.7485605"
"36","1196","SAN JOSE","PEREZ ZELEDON","PLATANARES","Combined","704","185.00","0.26","2.09","0.00","45.72","28.15","17.24","3.63","6.7641905"
"37","1193","SAN JOSE","PEREZ ZELEDON","DANIEL FLORES","Combined","2670","779.00","0.29","3.65","85.56","24.94","26.75","26.36","3.40","8.2967024"
"38","1192","SAN JOSE","PEREZ ZELEDON","EL GENERAL","Combined","604","202.00","0.33","3.92","0.00","24.25","27.02","19.89","3.47","7.77597"
"39","1198","SAN JOSE","PEREZ ZELEDON","CAJON","Combined","1097","299.00","0.27","4.91","19.77","33.72","29.68","18.58","3.58","6.6031644"
"40","1195","SAN JOSE","PEREZ ZELEDON","SAN PEDRO","Combined","873","203.00","0.23","3.38","0.00","43.60","30.60","17.20","3.58","6.1848297"
"41","3052","CARTAGO","TURRIALBA","LA SUIZA","Combined","623","209.00","0.34","4.23","65.84","26.07","23.15","20.72","3.36","7.4683075"
"42","1194","SAN JOSE","PEREZ ZELEDON","RIVAS","Combined","507","130.00","0.26","2.74","0.00","45.74","26.38","16.08","3.58","7.1042092"
"43","3057","CARTAGO","TURRIALBA","TUIS","Combined","185","59.00","0.32","3.20","37.50","28.34","24.00","17.35","3.21","7.0419385"
"44","7033","LIMON","SIQUIRRES","FLORIDA","Combined","142","36.00","0.25","3.54","37.09","40.50","25.96","13.71","3.40","6.8455497"
"45","30510","CARTAGO","TURRIALBA","TRES EQUIS","Combined","198","56.00","0.28","1.16","38.55","33.88","26.05","18.50","3.31","6.4255319"
"46","3043","CARTAGO","JIMENEZ","PEJIBAYE","Combined","287","99.00","0.34","2.74","23.57","23.93","23.39","18.91","3.47","7.1366906"
"47","3054","CARTAGO","TURRIALBA","SANTA CRUZ","Combined","298","121.00","0.41","2.44","0.00","41.37","24.00","15.80","3.33","7.2047377"
"48","3051","CARTAGO","TURRIALBA","TURRIALBA","Combined","2391","996.00","0.42","2.74","74.36","16.95","21.43","25.96","3.19","9.3056013"
"49","30511","CARTAGO","TURRIALBA","LA ISABEL","Combined","","","","3.63","85.02","25.93","24.62","25.48","3.42","7.470786"
"50","3055","CARTAGO","TURRIALBA","SANTA TERESITA","Combined","415","150.00","0.36","2.78","7.97","32.54","24.77","16.98","3.24","6.4350721"
"51","3053","CARTAGO","TURRIALBA","PERALTA","Combined","38","15.00","0.39","2.27","0.00","42.31","25.05","11.54","3.28","5.6144578"
"52","3056","CARTAGO","TURRIALBA","PAVONES","Combined","318","117.00","0.37","3.47","63.08","30.82","23.71","18.60","3.37","6.9650181"
"53","3012","CARTAGO","CARTAGO","OCCIDENTAL","Combined","906","322.00","0.36","2.57","100.00","10.73","15.53","29.86","3.39","11.410593"
"54","3042","CARTAGO","JIMENEZ","TUCURRIQUE","Combined","458","161.00","0.35","3.49","47.72","28.70","27.16","19.61","3.44","7.0913677"
"55","3072","CARTAGO","OREAMUNO","COT","Combined","903","323.00","0.36","2.26","82.66","29.53","28.84","21.26","4.44","7.13797"
"56","3036","CARTAGO","LA UNION","DULCE NOMBRE","Combined","805","286.00","0.36","3.85","97.44","24.24","28.24","24.49","3.89","7.9668583"
"57","3073","CARTAGO","OREAMUNO","POTRERO CERRADO","Combined","160","57.00","0.36","0.81","64.31","32.50","26.70","14.90","4.10","6.9414576"
"58","3075","CARTAGO","OREAMUNO","SANTA ROSA","Combined","236","99.00","0.42","0.46","70.31","31.20","25.06","13.44","4.18","6.6049638"
"59","3081","CARTAGO","EL GUARCO","EL TEJAR","Combined","2231","723.00","0.32","3.19","99.08","14.57","24.05","21.07","3.69","9.5669489"
"60","3015","CARTAGO","CARTAGO","AGUACALIENTE O SAN FRANCISCO","Combined","2313","791.00","0.34","4.11","96.17","17.20","25.08","23.43","3.87","8.8715791"
"61","3014","CARTAGO","CARTAGO","SAN NICOLAS","Combined","2157","727.00","0.34","3.77","100.00","24.14","25.42","23.60","3.79","8.4490161"
"62","3011","CARTAGO","CARTAGO","ORIENTAL","Combined","1111","400.00","0.36","3.12","100.00","9.42","14.94","32.19","3.11","11.2376988"
"63","3013","CARTAGO","CARTAGO","CARMEN","Combined","1114","401.00","0.36","3.04","100.00","21.45","21.23","24.24","3.65","9.4517173"
"64","3016","CARTAGO","CARTAGO","GUADALUPE O ARENILLA","Combined","1025","354.00","0.35","3.22","98.52","16.95","22.98","22.74","3.72","9.4297265"
"65","3022","CARTAGO","PARAISO","SANTIAGO","Combined","653","208.00","0.32","2.64","8.42","31.73","27.50","17.68","3.79","6.8615538"
"66","3074","CARTAGO","OREAMUNO","CIPRESES","Combined","291","117.00","0.40","1.50","57.35","23.55","26.11","13.25","4.05","7.3410104"
"67","3041","CARTAGO","JIMENEZ","JUAN VIÑAS","Combined","501","184.00","0.37","2.32","70.53","22.89","21.58","22.19","3.55","7.6960784"
"68","3024","CARTAGO","PARAISO","CACHI","Combined","460","136.00","0.30","3.70","53.66","25.58","23.78","18.27","3.82","6.9686898"
"69","3061","CARTAGO","ALVARADO","PACAYAS","Combined","538","173.00","0.32","1.52","59.35","28.27","24.89","14.62","3.91","7.1886969"
"70","30110","CARTAGO","CARTAGO","LLANO GRANDE","Combined","502","174.00","0.35","1.24","0.00","32.84","25.86","16.72","4.29","6.4897196"
"71","3018","CARTAGO","CARTAGO","TIERRA BLANCA","Combined","424","179.00","0.42","1.18","88.48","23.08","25.65","13.64","4.46","7.258148"
"72","7036","LIMON","SIQUIRRES","LA ALEGRIA","Combined","542","143.00","0.26","3.33","10.38","27.59","29.79","20.74","3.37","7.5777228"
"73","7063","LIMON","GUACIMO","POCORA","Combined","640","164.00","0.26","4.59","80.16","33.40","28.00","22.60","3.33","6.7283951"
"74","7034","LIMON","SIQUIRRES","GERMANIA","Combined","375","135.00","0.36","2.33","53.99","30.68","25.86","17.49","3.23","7.0387244"
"75","7022","LIMON","POCOCI","JIMENES","Combined","1177","401.00","0.34","4.50","44.44","26.03","29.60","20.52","3.39","7.8767698"
"76","7065","LIMON","GUACIMO","DUACARI","Combined","664","186.00","0.28","4.46","16.87","38.94","32.41","14.73","3.53","6.1517588"
"77","7061","LIMON","GUACIMO","GUACIMO","Combined","1923","507.00","0.26","3.88","54.93","27.24","29.50","22.81","3.37","7.463022"
"78","7064","LIMON","GUACIMO","RIO JIMENES","Combined","936","286.00","0.31","3.76","32.88","41.13","30.49","18.34","3.46","6.407851"
"79","7062","LIMON","GUACIMO","MERCEDES","Combined","132","37.00","0.28","4.36","57.23","34.01","21.68","20.72","3.26","8.6806597"
"80","7035","LIMON","SIQUIRRES","EL CAIRO","Combined","533","134.00","0.25","4.01","54.85","37.24","30.17","19.05","3.48","6.9687055"
"81","7025","LIMON","POCOCI","CARIARI","Combined","2592","803.00","0.31","5.67","66.05","37.55","29.42","21.71","3.44","6.8210926"
"82","6054","PUNTARENAS","OSA","BAHIA BALLENA","Combined","370","113.00","0.31","2.44","6.02","48.03","28.04","16.46","2.96","7.5679785"
"83","1091","SAN JOSE","SANTA ANA","SANTA ANA","Combined","1049","341.00","0.33","1.98","100.00","11.15","19.83","27.33","3.13","11.0908903"
"84","1092","SAN JOSE","SANTA ANA","SALITRAL","Combined","415","168.00","0.40","2.31","45.68","33.50","26.32","21.07","3.63","7.7790123"
"85","1022","SAN JOSE","ESCAZU","SAN ANTONIO","Combined","1356","512.00","0.38","3.01","98.18","21.22","22.21","23.08","3.55","9.0623152"
"86","3034","CARTAGO","LA UNION","SAN RAFAEL","Combined","1037","370.00","0.36","3.71","89.68","18.35","25.61","22.00","3.71","9.3121846"
"87","3031","CARTAGO","LA UNION","TRES RIOS","Combined","1062","393.00","0.37","2.67","100.00","10.19","16.64","30.77","3.47","10.3690905"
"88","3033","CARTAGO","LA UNION","SAN JUAN","Combined","728","275.00","0.38","2.67","100.00","5.66","22.07","23.41","3.20","12.190393"
"89","1015","SAN JOSE","SAN JOSE","ZAPOTE","Combined","1013","390.00","0.38","2.92","100.00","10.33","16.78","34.65","3.11","11.1955208"
"90","1182","SAN JOSE","CURRIDABAT","GRANADILLA","Combined","730","276.00","0.38","3.09","100.00","13.90","21.07","22.99","3.50","10.4990263"
"91","1154","SAN JOSE","MONTES DE OCA","SAN RAFAEL","Combined","543","208.00","0.38","4.17","100.00","18.75","21.69","25.89","3.43","10.1491865"
"92","1018","SAN JOSE","SAN JOSE","MATA REDONDA","Combined","316","122.00","0.39","3.43","100.00","9.31","14.87","32.85","2.80","12.21103"
"93","1019","SAN JOSE","SAN JOSE","PAVAS","Combined","3206","1,127.00","0.35","4.23","100.00","22.64","23.64","27.69","3.65","9.1884926"
"94","1017","SAN JOSE","SAN JOSE","URUCA","Combined","3179","1,005.00","0.32","4.03","100.00","38.83","28.40","24.13","3.65","8.5745212"
"95","1131","SAN JOSE","TIBAS","SAN JUAN","Combined","1337","512.00","0.38","2.83","100.00","8.36","15.63","33.93","3.04","11.0259016"
"96","1135","SAN JOSE","TIBAS","COLIMA","Combined","494","203.00","0.41","3.54","100.00","12.10","18.57","30.69","3.25","10.7289545"
"97","1141","SAN JOSE","MORAVIA","SAN VICENTE","Combined","1754","634.00","0.36","3.09","100.00","8.61","17.00","29.93","3.14","11.7773761"
"98","1114","SAN JOSE","VAZQUEZ DE CORONADO","PATALILLO","Combined","1116","446.00","0.40","2.68","100.00","9.15","20.51","24.71","3.42","10.434229"
"99","1152","SAN JOSE","MONTES DE OCA","SABANILLA","Combined","794","286.00","0.36","2.90","100.00","5.97","15.79","31.19","2.99","12.3459725"
"100","4034","HEREDIA","SANTO DOMINGO","PARACITO","Combined","241","95.00","0.39","2.66","100.00","17.01","22.95","20.00","3.51","8.8849765"
"101","1143","SAN JOSE","MORAVIA","LA TRINIDAD","Combined","1377","537.00","0.39","3.34","100.00","13.82","23.88","23.72","3.54","9.6882331"
"102","1081","SAN JOSE","GOICOECHEA","GUADALUPE","Combined","1513","561.00","0.37","3.18","100.00","10.76","15.47","34.09","3.05","10.6197949"
"103","2019","ALAJUELA","ALAJUELA","RIO SEGUNDO","Combined","779","251.00","0.32","3.75","100.00","25.58","22.35","24.68","3.35","8.6160571"
"104","4035","HEREDIA","SANTO DOMINGO","SANTO TOMAS","Combined","365","140.00","0.38","2.70","100.00","11.00","20.01","22.10","3.39","11.0504463"
"105","1084","SAN JOSE","GOICOECHEA","MATA DE PLATANO","Combined","941","347.00","0.37","2.81","99.30","11.81","20.51","25.73","3.39","10.6254272"
"106","1087","SAN JOSE","GOICOECHEA","PURRAL","Combined","2228","768.00","0.34","4.83","100.00","27.68","26.99","27.42","3.78","8.5103646"
"107","1123","SAN JOSE","ACOSTA","PALMICHAL","Combined","391","132.00","0.34","2.17","25.04","30.96","25.32","21.40","3.48","7.7413692"
"108","1105","SAN JOSE","ALAJUELITA","SAN FELIPE","Combined","2697","895.00","0.33","3.76","100.00","32.09","29.25","26.94","4.01","7.8669771"
"109","1096","SAN JOSE","SANTA ANA","BRASIL","Combined","41","14.00","0.34","1.31","100.00","16.39","23.63","20.83","3.59","9.2695312"
"110","1095","SAN JOSE","SANTA ANA","PIEDADES","Combined","179","52.00","0.29","2.27","92.57","19.92","20.84","22.46","3.41","9.9276757"
"111","1093","SAN JOSE","SANTA ANA","POZOS","Combined","1008","384.00","0.38","2.53","100.00","16.54","23.69","19.20","3.50","10.7549564"
"112","1073","SAN JOSE","MORA","TABARCIA","Combined","643","238.00","0.37","4.14","6.10","29.81","24.28","22.97","3.39","7.7589237"
"113","1094","SAN JOSE","SANTA ANA","URUCA","Combined","592","253.00","0.43","2.60","94.15","14.40","22.94","19.55","3.27","10.6535925"
"114","1061","SAN JOSE","ASERRI","ASERRI","Combined","2368","876.00","0.37","3.43","94.21","20.28","24.48","25.78","3.52","8.804408"
"115","1033","SAN JOSE","DESAMPARADOS","SAN JUAN DE DIOS","Combined","1404","505.00","0.36","3.57","100.00","22.60","25.76","25.40","3.68","8.2128881"
"116","1034","SAN JOSE","DESAMPARADOS","SAN RAFAEL ARRIBA","Combined","1880","740.00","0.39","3.80","100.00","17.21","22.47","23.97","3.48","9.0837073"
"117","10311","SAN JOSE","DESAMPARADOS","SAN RAFAEL ABAJO","Combined","1531","591.00","0.39","3.50","100.00","18.78","23.45","27.56","3.50","9.2877308"
"118","1031","SAN JOSE","DESAMPARADOS","DESAMPARADOS","Combined","2536","975.00","0.38","4.82","100.00","14.95","20.42","31.15","3.34","9.9710024"
"119","1035","SAN JOSE","DESAMPARADOS","SAN ANTONIO","Combined","797","298.00","0.37","2.88","100.00","9.69","18.49","27.07","3.20","10.8785511"
"120","3032","CARTAGO","LA UNION","SAN DIEGO","Combined","1785","648.00","0.36","3.92","96.20","17.99","24.80","24.38","3.66","9.1794631"
"121","1037","SAN JOSE","DESAMPARADOS","PATARRA","Combined","678","223.00","0.33","3.79","86.83","24.65","26.04","21.16","3.67","8.2316434"
"122","10310","SAN JOSE","DESAMPARADOS","DAMAS","Combined","637","253.00","0.40","2.66","100.00","12.01","22.57","27.89","3.53","9.4325176"
"123","10313","SAN JOSE","DESAMPARADOS","LOS GUIDO","Combined","172","63.00","0.37","6.40","100.00","36.62","29.95","26.29","4.01","7.2151727"
"124","3038","CARTAGO","LA UNION","RIO AZUL","Combined","946","332.00","0.35","3.67","95.83","38.15","29.67","22.53","3.80","7.1096909"
"125","1104","SAN JOSE","ALAJUELITA","CONCEPCION","Combined","1424","511.00","0.36","4.91","100.00","25.52","26.13","26.54","3.74","7.9582649"
"126","1101","SAN JOSE","ALAJUELITA","ALAJUELITA","Combined","1259","487.00","0.39","3.45","100.00","17.54","22.57","30.33","3.56","8.9190622"
"127","1102","SAN JOSE","ALAJUELITA","SAN JOSECITO","Combined","752","256.00","0.34","2.48","100.00","22.79","25.96","23.21","3.64","8.5870585"
"128","1023","SAN JOSE","ESCAZU","SAN RAFAEL","Combined","864","288.00","0.33","2.86","100.00","9.46","19.56","22.44","3.16","12.2165342"
"129","1021","SAN JOSE","ESCAZU","ESCAZU","Combined","1932","661.00","0.34","3.43","100.00","18.26","20.06","29.08","3.34","10.2136997"
"130","4073","HEREDIA","BELEN","LA ASUNCION","Combined","309","94.00","0.30","2.98","100.00","10.57","17.52","22.05","3.41","11.4107002"
"131","4083","HEREDIA","FLORES","LLORENTE","Combined","513","186.00","0.36","3.06","100.00","15.44","23.34","22.76","3.55","9.6479977"
"132","4014","HEREDIA","HEREDIA","ULLOA","Combined","1509","556.00","0.37","3.21","100.00","13.78","23.55","24.47","3.49","10.0956808"
"133","4032","HEREDIA","SANTO DOMINGO","SAN VICENTE","Combined","360","137.00","0.38","2.52","100.00","9.01","18.84","25.09","3.39","11.7965554"
"134","4037","HEREDIA","SANTO DOMINGO","TURES","Combined","376","138.00","0.37","3.30","100.00","22.86","23.03","21.09","3.55","9.283284"
"135","4033","HEREDIA","SANTO DOMINGO","SAN MIGUEL","Combined","459","189.00","0.41","2.47","100.00","14.11","19.85","21.46","3.44","9.9058279"
"136","1184","SAN JOSE","CURRIDABAT","TIRRASES","Combined","1377","427.00","0.31","3.86","100.00","33.49","27.21","25.13","3.72","7.9933592"
"137","1183","SAN JOSE","CURRIDABAT","SANCHEZ","Combined","302","91.00","0.30","1.57","100.00","7.36","18.59","17.96","3.34","13.1531199"
"138","3037","CARTAGO","LA UNION","SAN RAMON","Combined","247","85.00","0.34","1.73","100.00","12.32","20.84","24.38","3.46","10.5918967"
"139","3035","CARTAGO","LA UNION","CONCEPCION","Combined","1727","653.00","0.38","3.60","100.00","18.37","25.06","22.35","3.60","8.899285"
"140","1181","SAN JOSE","CURRIDABAT","CURRIDABAT","Combined","1671","611.00","0.37","2.83","100.00","11.45","16.52","30.04","3.08","11.5469617"
"141","1014","SAN JOSE","SAN JOSE","CATEDRAL","Combined","977","392.00","0.40","3.36","100.00","15.03","16.96","35.00","2.85","10.4774822"
"142","1012","SAN JOSE","SAN JOSE","MERCED","Combined","1039","383.00","0.37","3.79","100.00","24.77","21.23","30.56","3.22","9.4448109"
"143","10110","SAN JOSE","SAN JOSE","HATILLO","Combined","3591","1,413.00","0.39","4.58","100.00","16.02","21.69","33.42","3.54","9.3169634"
"144","10111","SAN JOSE","SAN JOSE","SAN SEBASTIAN","Combined","2404","963.00","0.40","4.13","100.00","17.38","21.05","29.73","3.45","9.6310691"
"145","1013","SAN JOSE","SAN JOSE","HOSPITAL","Combined","1891","738.00","0.39","4.43","100.00","24.79","21.66","30.31","3.46","8.8488623"
"146","1082","SAN JOSE","GOICOECHEA","SAN FRANCISCO","Combined","165","54.00","0.33","4.41","100.00","20.37","17.13","35.65","3.12","9.5037513"
"147","1083","SAN JOSE","GOICOECHEA","CALLE BLANCOS","Combined","765","300.00","0.39","3.75","100.00","17.34","19.04","30.29","3.35","10.4164159"
"148","1134","SAN JOSE","TIBAS","LEON XIII","Combined","1140","386.00","0.34","5.06","100.00","35.30","27.67","28.63","3.92","7.4652125"
"149","1151","SAN JOSE","MONTES DE OCA","SAN PEDRO","Combined","1020","369.00","0.36","2.59","100.00","6.82","13.08","34.82","2.67","12.0663382"
"150","1153","SAN JOSE","MONTES DE OCA","MERCEDES","Combined","148","61.00","0.41","1.96","100.00","6.46","13.48","35.77","2.50","12.497076"
"151","1115","SAN JOSE","VAZQUEZ DE CORONADO","CASCAJAL","Combined","484","181.00","0.37","4.15","82.82","29.85","24.84","22.95","3.60","8.1863894"
"152","1011","SAN JOSE","SAN JOSE","EL CARMEN","Combined","318","114.00","0.36","2.70","100.00","6.16","10.03","39.06","2.44","11.9805054"
"153","4031","HEREDIA","SANTO DOMINGO","SANTO DOMINGO","Combined","563","221.00","0.39","3.13","100.00","16.11","14.80","33.18","3.02","11.3124719"
"154","3082","CARTAGO","EL GUARCO","SAN ISIDRO","Combined","876","285.00","0.33","3.71","57.47","34.18","26.52","15.94","3.83","7.0167566"
"155","3083","CARTAGO","EL GUARCO","TOBOSI","Combined","557","192.00","0.34","3.08","94.92","24.32","27.23","18.21","4.05","7.2568077"
"156","1016","SAN JOSE","SAN JOSE","SAN FRANCISCO DE DOS RIOS","Combined","1132","476.00","0.42","2.34","100.00","9.00","16.40","30.57","3.17","11.8381503"
"157","4071","HEREDIA","BELEN","SAN ANTONIO","Combined","703","265.00","0.38","2.08","100.00","13.09","19.51","21.82","3.50","9.9077301"
"158","4013","HEREDIA","HEREDIA","SAN FRANCISCO","Combined","3250","1,097.00","0.34","3.43","100.00","18.33","24.03","26.59","3.60","9.7762783"
"159","1132","SAN JOSE","TIBAS","CINCO ESQUINAS","Combined","847","328.00","0.39","4.83","100.00","25.05","24.42","28.41","3.63","8.6461011"
"160","1133","SAN JOSE","TIBAS","ANSELMO LLORENTE","Combined","417","175.00","0.42","2.72","100.00","6.71","15.13","32.74","3.15","11.5748183"
"161","1172","SAN JOSE","DOTA","JARDIN","Combined","16","2.00","0.13","0.00","0.00","50.34","26.34","5.37","3.52","6.6473988"
"162","1173","SAN JOSE","DOTA","COPEY","Combined","162","48.00","0.30","0.42","0.00","61.31","26.96","14.88","3.58","7.0947368"
"163","1051","SAN JOSE","TARRAZU","SAN MARCOS","Combined","809","236.00","0.29","3.17","67.85","24.89","25.68","22.25","3.43","7.9986887"
"164","1171","SAN JOSE","DOTA","SANTA MARIA","Combined","404","100.00","0.25","2.62","46.05","29.21","25.10","23.97","3.44","8.2820796"
"165","3084","CARTAGO","EL GUARCO","PATIO DE AGUA","Combined","64","13.00","0.20","8.62","0.00","30.17","23.79","10.34","3.52","5.8311688"
"166","3019","CARTAGO","CARTAGO","DULCE NOMBRE","Combined","941","336.00","0.36","2.89","93.58","12.34","24.55","21.01","3.49","9.606303"
"167","3021","CARTAGO","PARAISO","PARAISO","Combined","2025","713.00","0.35","3.55","88.59","17.63","21.92","20.60","3.67","8.8895788"
"168","3023","CARTAGO","PARAISO","OROSI","Combined","796","266.00","0.33","2.96","63.73","28.08","24.47","20.51","3.82","7.0521286"
"169","1191","SAN JOSE","PEREZ ZELEDON","SAN ISIDRO DEL GENERAL","Combined","4114","1,331.00","0.32","3.80","74.61","22.09","25.55","28.43","3.32","8.8658684"
"170","11911","SAN JOSE","PEREZ ZELEDON","PARAMO","Combined","395","104.00","0.26","2.18","0.00","53.06","27.41","13.80","3.64","6.7749054"
"171","7023","LIMON","POCOCI","RITA","Combined","2115","685.00","0.32","5.51","33.84","42.66","29.03","17.43","3.41","6.4238703"
"172","7024","LIMON","POCOCI","ROXANA","Combined","1368","383.00","0.28","4.63","39.74","43.86","29.95","15.92","3.53","6.4048817"
"173","4015","HEREDIA","HEREDIA","VARABLANCA","Combined","45","21.00","0.47","0.92","48.43","53.49","24.71","12.09","3.26","6.3041667"
"174","4102","HEREDIA","SARAPIQUI","LA VIRGEN","Combined","1075","321.00","0.30","4.06","21.33","39.61","29.70","18.62","3.37","6.3072762"
"175","4104","HEREDIA","SARAPIQUI","LLANURAS DEL GASPAR","Combined","121","39.00","0.32","1.40","0.00","74.20","31.72","6.05","3.57","4.78125"
"176","3062","CARTAGO","ALVARADO","CERVANTES","Combined","532","170.00","0.32","1.72","68.48","22.38","26.02","19.54","3.83","7.2195333"
"177","3063","CARTAGO","ALVARADO","CAPELLADES","Combined","181","78.00","0.43","1.00","55.01","26.48","24.21","14.07","3.71","7.3394995"
"178","1112","SAN JOSE","VAZQUEZ DE CORONADO","SAN RAFAEL","Combined","540","207.00","0.38","3.05","90.20","21.06","21.12","21.73","3.56","9.1200418"
"179","1113","SAN JOSE","VAZQUEZ DE CORONADO","DULCE NOMBRE DE JESUS","Combined","798","323.00","0.40","4.04","98.05","16.17","22.27","23.34","3.64","9.2095383"
"180","1204","SAN JOSE","LEON CORTES","SAN ISIDRO","Combined","126","47.00","0.37","4.00","0.00","33.82","26.65","11.92","3.72","6.7038391"
"181","1203","SAN JOSE","LEON CORTES","LLANO BONITO","Combined","122","27.00","0.22","2.47","0.00","43.03","26.48","14.46","3.63","6.5881579"
"182","1052","SAN JOSE","TARRAZU","SAN LORENZO","Combined","293","84.00","0.29","2.49","32.11","43.34","29.09","14.85","3.57","6.7293729"
"183","1053","SAN JOSE","TARRAZU","SAN CARLOS","Combined","199","51.00","0.26","1.13","0.00","49.69","33.60","9.94","3.92","5.6444805"
"184","6091","PUNTARENAS","PARRITA","PARRITA","Combined","1331","450.00","0.34","3.28","53.24","34.32","26.42","18.70","3.26","7.1178087"
